#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 180  0.0  0.0  5.61 13.79  9.58 339 1023.6  19.6  23.0 999.0 99.0 99.00
2013 01 01 00 50 180  0.0  0.0  4.91 13.79  9.40 324 1023.3  19.8  23.0 999.0 99.0 99.00
2013 01 01 01 50 180  0.0  0.0  5.29 13.79 10.02 340 1024.1  19.6  23.0 999.0 99.0 99.00
2013 01 01 02 50 180  0.0  0.0  4.99 13.79  9.59 340 1024.1  19.6  23.0 999.0 99.0 99.00
2013 01 01 03 50 180  0.0  0.0  4.99 13.79  9.51 332 1023.8  19.7  23.0 999.0 99.0 99.00
2013 01 01 04 50 180  0.0  0.0  4.53 14.81  9.35 343 1023.6  19.8  23.0 999.0 99.0 99.00
2013 01 01 05 50 180  0.0  0.0  5.33 13.79 10.26 339 1023.4  19.6  23.0 999.0 99.0 99.00
2013 01 01 06 50 180  0.0  0.0  5.03 13.79 10.22 337 1023.0  19.4  23.0 999.0 99.0 99.00
2013 01 01 07 50 180  0.0  0.0  4.78 13.79  9.94 341 1022.7  19.3  22.9 999.0 99.0 99.00
2013 01 01 08 50 180  0.0  0.0  4.67 13.79  9.84 347 1022.5  19.2  23.0 999.0 99.0 99.00
2013 01 01 09 50 180  0.0  0.0  4.33 13.79  9.36 337 1023.1  19.3  22.9 999.0 99.0 99.00
2013 01 01 10 50 180  0.0  0.0  4.89 13.79 10.37 348 1023.7  19.3  22.9 999.0 99.0 99.00
2013 01 01 11 50 180  0.0  0.0  4.08 12.90  9.52 348 1023.7  19.5  22.9 999.0 99.0 99.00
2013 01 01 12 50 180  0.0  0.0  4.20 13.79  9.65 348 1024.3  19.8  22.9 999.0 99.0 99.00
2013 01 01 13 50 180  0.0  0.0  4.43 13.79  9.94 346 1024.9  20.0  23.0 999.0 99.0 99.00
2013 01 01 14 50 180  0.0  0.0  4.12 12.90  9.92 346 1024.8  19.8  23.0 999.0 99.0 99.00
2013 01 01 15 50 999 99.0 99.0  4.03 12.90  9.72 342 1024.1  19.8  23.0 999.0 99.0 99.00
2013 01 01 16 50 999 99.0 99.0  3.49 13.79  9.12 355 1023.0  20.1  23.1 999.0 99.0 99.00
2013 01 01 17 50 999 99.0 99.0  4.23 12.90 10.01 345 1022.4  20.3  23.2 999.0 99.0 99.00
2013 01 01 18 50 999 99.0 99.0  4.31 12.90 10.20 350 1022.0  20.3  23.2 999.0 99.0 99.00
2013 01 01 19 50 999 99.0 99.0  4.05 12.90  9.88 349 1021.9  21.0  23.1 999.0 99.0 99.00
2013 01 01 20 50 999 99.0 99.0  4.02 13.79 10.17 351 1022.1  20.2  23.1 999.0 99.0 99.00
2013 01 01 21 50 999 99.0 99.0  3.75 13.79  9.90 357 1022.4  19.8  23.1 999.0 99.0 99.00
2013 01 01 22 50 999 99.0 99.0  3.65 13.79  9.60 356 1022.5  19.8  23.0 999.0 99.0 99.00
2013 01 01 23 50 999 99.0 99.0  3.63 13.79  9.97 359 1022.8  19.9  23.0 999.0 99.0 99.00
2013 01 02 00 50 999 99.0 99.0  3.31 13.79  9.53   5 1023.1  19.9  23.0 999.0 99.0 99.00
2013 01 02 01 50 999 99.0 99.0  3.30 12.90  9.51 359 1022.9  20.0  23.0 999.0 99.0 99.00
2013 01 02 02 50 999 99.0 99.0  3.23 12.12  9.38 349 1022.6  20.1  23.0 999.0 99.0 99.00
